endpoint,model_name,fpr,tpr
extreme_os,tabpfn_v2_6,0.9,0.978021978021978
extreme_os,tabpfn_v2_6,0.92,0.978021978021978
extreme_os,tabpfn_v2_6,0.92,1.0
extreme_os,tabpfn_v2_6,1.0,1.0
extreme_os,tabpfn_v3,0.0,0.0
extreme_os,tabpfn_v3,0.0,0.01098901098901099
extreme_os,tabpfn_v3,0.0,0.02197802197802198
extreme_os,tabpfn_v3,0.0,0.054945054945054944
extreme_os,tabpfn_v3,0.0,0.07692307692307693
extreme_os,tabpfn_v3,0.0,0.1978021978021978
extreme_os,tabpfn_v3,0.02,0.1978021978021978
extreme_os,tabpfn_v3,0.02,0.32967032967032966
extreme_os,tabpfn_v3,0.04,0.32967032967032966
extreme_os,tabpfn_v3,0.04,0.46153846153846156
extreme_os,tabpfn_v3,0.06,0.46153846153846156
extreme_os,tabpfn_v3,0.06,0.4725274725274725
extreme_os,tabpfn_v3,0.08,0.4725274725274725
extreme_os,tabpfn_v3,0.08,0.4945054945054945
extreme_os,tabpfn_v3,0.1,0.4945054945054945
extreme_os,tabpfn_v3,0.1,0.5604395604395604
extreme_os,tabpfn_v3,0.14,0.5604395604395604
extreme_os,tabpfn_v3,0.14,0.5934065934065934
extreme_os,tabpfn_v3,0.16,0.5934065934065934
extreme_os,tabpfn_v3,0.16,0.6043956043956044
extreme_os,tabpfn_v3,0.18,0.6043956043956044
extreme_os,tabpfn_v3,0.18,0.6923076923076923
extreme_os,tabpfn_v3,0.2,0.6923076923076923
extreme_os,tabpfn_v3,0.2,0.7142857142857143
extreme_os,tabpfn_v3,0.22,0.7142857142857143
extreme_os,tabpfn_v3,0.22,0.7252747252747253
extreme_os,tabpfn_v3,0.26,0.7252747252747253
extreme_os,tabpfn_v3,0.26,0.7692307692307693
extreme_os,tabpfn_v3,0.28,0.7692307692307693
extreme_os,tabpfn_v3,0.28,0.8021978021978022
extreme_os,tabpfn_v3,0.3,0.8021978021978022
extreme_os,tabpfn_v3,0.3,0.8131868131868132
extreme_os,tabpfn_v3,0.32,0.8131868131868132
extreme_os,tabpfn_v3,0.32,0.8461538461538461
extreme_os,tabpfn_v3,0.34,0.8461538461538461
extreme_os,tabpfn_v3,0.34,0.8571428571428571
extreme_os,tabpfn_v3,0.36,0.8571428571428571
extreme_os,tabpfn_v3,0.36,0.8681318681318682
extreme_os,tabpfn_v3,0.38,0.8681318681318682
extreme_os,tabpfn_v3,0.38,0.8901098901098901
extreme_os,tabpfn_v3,0.54,0.8901098901098901
extreme_os,tabpfn_v3,0.54,0.9120879120879121
extreme_os,tabpfn_v3,0.8,0.9120879120879121
extreme_os,tabpfn_v3,0.8,0.9340659340659341
extreme_os,tabpfn_v3,0.82,0.9340659340659341
extreme_os,tabpfn_v3,0.82,0.945054945054945
extreme_os,tabpfn_v3,0.84,0.945054945054945
extreme_os,tabpfn_v3,0.84,0.967032967032967
extreme_os,tabpfn_v3,0.86,0.967032967032967
extreme_os,tabpfn_v3,0.86,0.978021978021978
extreme_os,tabpfn_v3,0.9,0.978021978021978
extreme_os,tabpfn_v3,0.9,0.989010989010989
extreme_os,tabpfn_v3,1.0,0.989010989010989
extreme_os,tabpfn_v3,1.0,1.0
os_3yr,tabfm_default,0.0,0.0
os_3yr,tabfm_default,0.0,0.004878048780487805
os_3yr,tabfm_default,0.0,0.01951219512195122
os_3yr,tabfm_default,0.003436426116838488,0.01951219512195122
os_3yr,tabfm_default,0.003436426116838488,0.02926829268292683
os_3yr,tabfm_default,0.003436426116838488,0.03902439024390244
os_3yr,tabfm_default,0.006872852233676976,0.03902439024390244
os_3yr,tabfm_default,0.006872852233676976,0.04878048780487805
os_3yr,tabfm_default,0.010309278350515464,0.04878048780487805
os_3yr,tabfm_default,0.010309278350515464,0.05853658536585366
os_3yr,tabfm_default,0.013745704467353952,0.05853658536585366
os_3yr,tabfm_default,0.013745704467353952,0.06341463414634146
os_3yr,tabfm_default,0.013745704467353952,0.08292682926829269
os_3yr,tabfm_default,0.013745704467353952,0.08780487804878048
os_3yr,tabfm_default,0.01718213058419244,0.09268292682926829
os_3yr,tabfm_default,0.01718213058419244,0.11219512195121951
os_3yr,tabfm_default,0.020618556701030927,0.11219512195121951
os_3yr,tabfm_default,0.020618556701030927,0.11707317073170732
os_3yr,tabfm_default,0.030927835051546393,0.11707317073170732
os_3yr,tabfm_default,0.030927835051546393,0.13658536585365855
os_3yr,tabfm_default,0.048109965635738834,0.13658536585365855
os_3yr,tabfm_default,0.054982817869415807,0.13658536585365855
os_3yr,tabfm_default,0.054982817869415807,0.14146341463414633
os_3yr,tabfm_default,0.058419243986254296,0.14146341463414633
os_3yr,tabfm_default,0.06529209621993128,0.14634146341463414
os_3yr,tabfm_default,0.06872852233676977,0.14634146341463414
os_3yr,tabfm_default,0.07216494845360824,0.16097560975609757
os_3yr,tabfm_default,0.07560137457044673,0.16585365853658537
os_3yr,tabfm_default,0.07903780068728522,0.16585365853658537
os_3yr,tabfm_default,0.0859106529209622,0.17073170731707318
os_3yr,tabfm_default,0.0859106529209622,0.18048780487804877
os_3yr,tabfm_default,0.08934707903780069,0.18048780487804877
os_3yr,tabfm_default,0.09621993127147767,0.18048780487804877
os_3yr,tabfm_default,0.1134020618556701,0.2097560975609756
os_3yr,tabfm_default,0.13058419243986255,0.22439024390243903
os_3yr,tabfm_default,0.13058419243986255,0.22926829268292684
os_3yr,tabfm_default,0.15807560137457044,0.25365853658536586
os_3yr,tabfm_default,0.15807560137457044,0.2682926829268293
os_3yr,tabfm_default,0.16151202749140894,0.28292682926829266
os_3yr,tabfm_default,0.1718213058419244,0.3073170731707317
os_3yr,tabfm_default,0.1718213058419244,0.3121951219512195
os_3yr,tabfm_default,0.1718213058419244,0.32195121951219513
os_3yr,tabfm_default,0.17525773195876287,0.32682926829268294
os_3yr,tabfm_default,0.17525773195876287,0.3463414634146341
os_3yr,tabfm_default,0.17869415807560138,0.35121951219512193
os_3yr,tabfm_default,0.18213058419243985,0.36097560975609755
os_3yr,tabfm_default,0.18213058419243985,0.37073170731707317
os_3yr,tabfm_default,0.18556701030927836,0.375609756097561
os_3yr,tabfm_default,0.18556701030927836,0.3853658536585366
os_3yr,tabfm_default,0.18556701030927836,0.4
os_3yr,tabfm_default,0.18900343642611683,0.4
os_3yr,tabfm_default,0.19243986254295534,0.4097560975609756
os_3yr,tabfm_default,0.19243986254295534,0.4195121951219512
os_3yr,tabfm_default,0.21305841924398625,0.44878048780487806
os_3yr,tabfm_default,0.21649484536082475,0.4585365853658537
os_3yr,tabfm_default,0.23367697594501718,0.47317073170731705
os_3yr,tabfm_default,0.2646048109965636,0.5121951219512195
os_3yr,tabfm_default,0.2646048109965636,0.5219512195121951
os_3yr,tabfm_default,0.27147766323024053,0.5317073170731708
os_3yr,tabfm_default,0.28865979381443296,0.5414634146341464
os_3yr,tabfm_default,0.29896907216494845,0.5463414634146342
os_3yr,tabfm_default,0.29896907216494845,0.5609756097560976
os_3yr,tabfm_default,0.3024054982817869,0.5658536585365853
os_3yr,tabfm_default,0.30927835051546393,0.5756097560975609
os_3yr,tabfm_default,0.3127147766323024,0.5756097560975609
os_3yr,tabfm_default,0.3161512027491409,0.5804878048780487
os_3yr,tabfm_default,0.32646048109965636,0.5804878048780487
os_3yr,tabfm_default,0.3402061855670103,0.5951219512195122
os_3yr,tabfm_default,0.3470790378006873,0.5951219512195122
os_3yr,tabfm_default,0.35051546391752575,0.6048780487804878
os_3yr,tabfm_default,0.3539518900343643,0.6097560975609756
os_3yr,tabfm_default,0.36769759450171824,0.6146341463414634
os_3yr,tabfm_default,0.3711340206185567,0.6146341463414634
os_3yr,tabfm_default,0.3711340206185567,0.6195121951219512
os_3yr,tabfm_default,0.3745704467353952,0.6195121951219512
os_3yr,tabfm_default,0.3745704467353952,0.6292682926829268
os_3yr,tabfm_default,0.3745704467353952,0.6341463414634146
os_3yr,tabfm_default,0.37800687285223367,0.6439024390243903
os_3yr,tabfm_default,0.37800687285223367,0.6536585365853659
os_3yr,tabfm_default,0.38144329896907214,0.6585365853658537
os_3yr,tabfm_default,0.38144329896907214,0.6634146341463415
os_3yr,tabfm_default,0.3848797250859107,0.6634146341463415
os_3yr,tabfm_default,0.41924398625429554,0.7024390243902439
os_3yr,tabfm_default,0.436426116838488,0.7170731707317073
os_3yr,tabfm_default,0.4570446735395189,0.7902439024390244
os_3yr,tabfm_default,0.4570446735395189,0.7951219512195122
os_3yr,tabfm_default,0.46048109965635736,0.8048780487804879
os_3yr,tabfm_default,0.4639175257731959,0.824390243902439
os_3yr,tabfm_default,0.46735395189003437,0.8292682926829268
os_3yr,tabfm_default,0.4742268041237113,0.8292682926829268
os_3yr,tabfm_default,0.4845360824742268,0.8390243902439024
os_3yr,tabfm_default,0.4845360824742268,0.8439024390243902
os_3yr,tabfm_default,0.5017182130584192,0.8585365853658536
os_3yr,tabfm_default,0.5154639175257731,0.8585365853658536
os_3yr,tabfm_default,0.5154639175257731,0.8731707317073171
os_3yr,tabfm_default,0.5189003436426117,0.8731707317073171
os_3yr,tabfm_default,0.5189003436426117,0.8975609756097561
os_3yr,tabfm_default,0.5360824742268041,0.9073170731707317
os_3yr,tabfm_default,0.5532646048109966,0.9073170731707317
os_3yr,tabfm_default,0.5532646048109966,0.9121951219512195
os_3yr,tabfm_default,0.5567010309278351,0.9121951219512195
os_3yr,tabfm_default,0.5567010309278351,0.9170731707317074
os_3yr,tabfm_default,0.5773195876288659,0.9170731707317074
os_3yr,tabfm_default,0.5773195876288659,0.926829268292683
os_3yr,tabfm_default,0.5945017182130584,0.926829268292683
os_3yr,tabfm_default,0.5945017182130584,0.9317073170731708
os_3yr,tabfm_default,0.6013745704467354,0.9317073170731708
os_3yr,tabfm_default,0.6013745704467354,0.9365853658536586
os_3yr,tabfm_default,0.6185567010309279,0.9414634146341463
os_3yr,tabfm_default,0.6185567010309279,0.9463414634146341
os_3yr,tabfm_default,0.6254295532646048,0.9463414634146341
os_3yr,tabfm_default,0.6288659793814433,0.9463414634146341
os_3yr,tabfm_default,0.6529209621993127,0.9463414634146341
os_3yr,tabfm_default,0.6632302405498282,0.9463414634146341
os_3yr,tabfm_default,0.7010309278350515,0.9512195121951219
os_3yr,tabfm_default,0.7044673539518901,0.9560975609756097
os_3yr,tabfm_default,0.7422680412371134,0.9658536585365853
os_3yr,tabfm_default,0.7491408934707904,0.9658536585365853
os_3yr,tabfm_default,0.7731958762886598,0.9658536585365853
os_3yr,tabfm_default,0.7800687285223368,0.9658536585365853
os_3yr,tabfm_default,0.8075601374570447,0.9658536585365853
os_3yr,tabfm_default,0.8109965635738832,0.9658536585365853
os_3yr,tabfm_default,0.8178694158075601,0.9658536585365853
os_3yr,tabfm_default,0.8247422680412371,0.9658536585365853
os_3yr,tabfm_default,0.8350515463917526,0.9658536585365853
os_3yr,tabfm_default,0.8419243986254296,0.9658536585365853
os_3yr,tabfm_default,0.8419243986254296,0.9707317073170731
os_3yr,tabfm_default,0.872852233676976,0.9707317073170731
os_3yr,tabfm_default,0.8831615120274914,0.9707317073170731
os_3yr,tabfm_default,0.8831615120274914,0.975609756097561
os_3yr,tabfm_default,0.8865979381443299,0.975609756097561
os_3yr,tabfm_default,0.9140893470790378,0.975609756097561
os_3yr,tabfm_default,0.9243986254295533,0.975609756097561
os_3yr,tabfm_default,0.9381443298969072,0.975609756097561
os_3yr,tabfm_default,0.9415807560137457,0.9804878048780488
os_3yr,tabfm_default,0.9553264604810997,0.9902439024390244
os_3yr,tabfm_default,0.9621993127147767,0.9902439024390244
os_3yr,tabfm_default,0.9690721649484536,0.9902439024390244
os_3yr,tabfm_default,0.9759450171821306,0.9902439024390244
os_3yr,tabfm_default,0.9862542955326461,0.9902439024390244
os_3yr,tabfm_default,0.9862542955326461,0.9951219512195122
os_3yr,tabfm_default,1.0,0.9951219512195122
os_3yr,tabfm_default,1.0,1.0
os_3yr,tabpfn_v2,0.0,0.0
os_3yr,tabpfn_v2,0.003436426116838488,0.0
os_3yr,tabpfn_v2,0.003436426116838488,0.004878048780487805
os_3yr,tabpfn_v2,0.006872852233676976,0.004878048780487805
os_3yr,tabpfn_v2,0.006872852233676976,0.02926829268292683
os_3yr,tabpfn_v2,0.010309278350515464,0.02926829268292683
os_3yr,tabpfn_v2,0.010309278350515464,0.06341463414634146
os_3yr,tabpfn_v2,0.01718213058419244,0.06341463414634146
os_3yr,tabpfn_v2,0.01718213058419244,0.07804878048780488
os_3yr,tabpfn_v2,0.020618556701030927,0.07804878048780488
os_3yr,tabpfn_v2,0.020618556701030927,0.11219512195121951
os_3yr,tabpfn_v2,0.027491408934707903,0.11219512195121951
os_3yr,tabpfn_v2,0.027491408934707903,0.12682926829268293
os_3yr,tabpfn_v2,0.03436426116838488,0.12682926829268293
os_3yr,tabpfn_v2,0.03436426116838488,0.13170731707317074
os_3yr,tabpfn_v2,0.041237113402061855,0.13170731707317074
