task,model,task_type,status,fit_time_s,predict_time_s,tcga_accuracy,tcga_f1,tcga_roc_auc,tcga_log_loss,cptac_accuracy,cptac_f1,cptac_roc_auc,cptac_log_loss
brca_tp53_biological,lightgbm,binary,success,0.7090415809980186,0.025489267998636933,0.8897715988083416,0.834575260804769,0.9409545985732474,0.38689267342823935,0.6363636363636364,0.3125,0.9309100998890122,1.1875599789639626
brca_tp53_biological,catboost,binary,success,4.6366931309967185,0.05768869000530685,0.8848063555114201,0.8237082066869301,0.9363281181867337,0.3056173205588607,0.6033057851239669,0.2,0.9364594894561598,0.712386368401474
brca_tp53_biological,autogluon,binary,success,52.74104325499866,0.44502554000064265,0.8897715988083416,0.8340807174887892,0.9286274920203024,0.3443046692239455,0.6859504132231405,0.45714285714285713,0.9475582685904551,0.5216332642798026
brca_tp53_biological,tabpfn_v3,binary,success,2.422531573993183,26.50185710599908,0.9096325719960278,0.8679245283018868,0.9476828353653219,0.2680185145346486,0.743801652892562,0.6075949367088608,0.9381243063263041,0.4751398516962834
brca_tp53_protein_biological,logistic_regression,binary,success,0.496208155000204,0.030134087999613257,0.8659384309831182,0.8040638606676342,0.9182146407827954,0.4291185340663553,0.5819672131147541,0.07272727272727272,0.7886245556467049,0.8048688735588962
brca_tp53_protein_biological,random_forest,binary,success,2.350198197997088,0.09322362100283499,0.8649453823237339,0.7933130699088146,0.9198759876510909,0.3615102050508848,0.5655737704918032,0.0,0.8022969647251845,1.1139618598971115
brca_tp53_protein_biological,xgboost,binary,success,1.2185267800014117,0.08490058799725375,0.8808341608738828,0.8203592814371258,0.932739434531596,0.39976585147504173,0.5655737704918032,0.0,0.8200710965272081,1.4725411190898172
brca_tp53_protein_biological,lightgbm,binary,success,0.7480054300031043,0.03142061400285456,0.8728897715988083,0.806060606060606,0.9368295745905497,0.4061985107385636,0.5655737704918032,0.0,0.8367514356029532,1.6735771406456896
brca_tp53_protein_biological,catboost,binary,success,4.45856883000306,0.0582547220037668,0.8798411122144985,0.8174962292609351,0.934112989029006,0.3110757328755431,0.5655737704918032,0.0,0.8769483182936834,0.9514799612097121
brca_tp53_protein_biological,autogluon,binary,success,53.077943902997504,0.3937702959992748,0.8788480635551142,0.8211143695014663,0.9239138018244292,0.4711228902069979,0.5983606557377049,0.1694915254237288,0.8755810773858353,0.640800053713984
brca_tp53_protein_biological,tabpfn_v3,binary,success,2.601821000003838,24.16967717899388,0.9046673286991063,0.8600583090379009,0.9492177280100466,0.26306802576202454,0.6065573770491803,0.1724137931034483,0.8720262510254306,0.664136174490137
brca_tp53_protein_top500,logistic_regression,binary,success,0.3525925170069968,0.06657180600086576,0.7984111221449851,0.7036496350364964,0.8534831597858128,1.2025388102634975,0.5655737704918032,0.0,0.7757724911129341,1.7155867017092143
brca_tp53_protein_top500,random_forest,binary,success,4.39565255600246,0.12424750100035453,0.8321747765640516,0.7278582930756844,0.8887181030122268,0.40341697133459314,0.5655737704918032,0.0,0.867104183757178,0.9634481551360281
brca_tp53_protein_top500,xgboost,binary,success,4.812960862996988,0.24722203600322246,0.8371400198609732,0.7461300309597523,0.8936389165053286,0.5423786736551741,0.5655737704918032,0.0,0.5701394585726005,0.844712457833532
brca_tp53_protein_top500,lightgbm,binary,success,2.6002343200016185,0.032997566006088164,0.8421052631578947,0.7534883720930232,0.8989238309525054,0.553539637743318,0.5655737704918032,0.0,0.7741318020235166,1.0552192440457304
brca_tp53_protein_top500,catboost,binary,success,14.24337946399828,0.34780842100371956,0.8361469712015889,0.7417840375586855,0.8971752742748502,0.3823891652102658,0.5655737704918032,0.0,0.8318293683347007,0.7481546568834642
brca_tp53_protein_top500,autogluon,binary,success,52.75376830300593,0.09496105099970009,0.8411122144985105,0.7476340694006309,0.8947726440270002,0.3856673470875762,0.5655737704918032,0.0,0.7487011211375445,0.776841559672005
