scope,endpoint,cancer,repeat,fold,model_name,n_train,n_validation,n_test,status,threshold,threshold_source,fit_time_s,predict_time_s,accuracy,balanced_accuracy,f1,sensitivity,specificity,roc_auc,pr_auc,log_loss,brier,prediction_path
per_cancer,os_3yr,BRCA,1,1,xgboost,321,80,100,success,0.0027248647529631853,validation split balanced accuracy,0.17354914000316057,0.006591594999918016,0.19,0.49607843137254903,0.25688073394495414,0.9333333333333333,0.058823529411764705,0.547843137254902,0.30491765745054883,0.5759682812220961,0.12919507247930287,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_01_fold_01/xgboost/test_predictions.csv
per_cancer,os_3yr,BRCA,1,1,lightgbm,321,80,100,success,0.00147757756571564,validation split balanced accuracy,0.07729717999973218,0.005712316000426654,0.5,0.48627450980392156,0.21875,0.4666666666666667,0.5058823529411764,0.5266666666666667,0.25986316228447387,0.9133538240824887,0.13625995681861672,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_01_fold_01/lightgbm/test_predictions.csv
per_cancer,os_3yr,BRCA,1,2,logistic_regression,320,81,100,success,0.12216254705036515,validation split balanced accuracy,0.011103449000074761,0.004007321000244701,0.46,0.5771195097037793,0.22857142857142856,0.7272727272727273,0.42696629213483145,0.6608784473953013,0.22431122350884442,0.35606897138682664,0.09949435527454772,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_01_fold_02/logistic_regression/test_predictions.csv
per_cancer,os_3yr,BRCA,1,2,random_forest,320,81,100,success,0.18333333333333332,validation split balanced accuracy,0.3534102109988453,0.07788228700155742,0.61,0.6613891726251278,0.2909090909090909,0.7272727272727273,0.5955056179775281,0.6894790602655771,0.2544501578095306,0.3431803189044825,0.09839933333333331,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_01_fold_02/random_forest/test_predictions.csv
per_cancer,os_3yr,BRCA,1,2,catboost,320,81,100,success,0.150159750685868,validation split balanced accuracy,2.0726851020008326,0.0056174950004788116,0.75,0.6205311542390194,0.2857142857142857,0.45454545454545453,0.7865168539325843,0.7425944841675178,0.2978823432288474,0.31807305712129597,0.0916397986823391,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_01_fold_02/catboost/test_predictions.csv
per_cancer,os_3yr,BRCA,1,2,xgboost,320,81,100,success,0.04231216385960579,validation split balanced accuracy,0.22141766300046584,0.005741712000599364,0.62,0.6670071501532175,0.2962962962962963,0.7272727272727273,0.6067415730337079,0.7191011235955056,0.26588352852341335,0.35172852623434087,0.09942119566467403,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_01_fold_02/xgboost/test_predictions.csv
per_cancer,os_3yr,BRCA,1,2,lightgbm,320,81,100,success,0.016077826050788377,validation split balanced accuracy,0.0864903530018637,0.006541849998029647,0.73,0.6491317671092951,0.3076923076923077,0.5454545454545454,0.7528089887640449,0.7844739530132788,0.34920392880325835,0.42438100505375126,0.09870756462474088,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_01_fold_02/lightgbm/test_predictions.csv
per_cancer,os_3yr,BRCA,1,3,logistic_regression,320,81,100,success,0.005561322178861709,validation split balanced accuracy,0.011251371000980726,0.003994546998001169,0.21,0.49661246612466126,0.3008849557522124,0.9444444444444444,0.04878048780487805,0.6355013550135501,0.24710452518595025,0.5089272016381493,0.15324690807525027,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_01_fold_03/logistic_regression/test_predictions.csv
per_cancer,os_3yr,BRCA,1,3,random_forest,320,81,100,success,0.28,validation split balanced accuracy,0.35389166199820465,0.0786979739968956,0.76,0.4850948509485095,0.07692307692307693,0.05555555555555555,0.9146341463414634,0.6158536585365855,0.23034755415695185,0.48745561072203286,0.15223122222222263,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_01_fold_03/random_forest/test_predictions.csv
per_cancer,os_3yr,BRCA,1,3,catboost,320,81,100,success,0.07849410081623379,validation split balanced accuracy,2.311473108999053,0.005844118000823073,0.5,0.5433604336043361,0.3055555555555556,0.6111111111111112,0.47560975609756095,0.5426829268292683,0.20987123665257004,0.5241123265252223,0.15754538970987877,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_01_fold_03/catboost/test_predictions.csv
per_cancer,os_3yr,BRCA,1,3,xgboost,320,81,100,success,0.07787581533193588,validation split balanced accuracy,0.20242998100002296,0.005839008001203183,0.76,0.5718157181571816,0.29411764705882354,0.2777777777777778,0.8658536585365854,0.6036585365853657,0.2535858759489381,0.6564407042389542,0.16593899909499035,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_01_fold_03/xgboost/test_predictions.csv
per_cancer,os_3yr,BRCA,1,3,lightgbm,320,81,100,success,0.0004216886111901464,validation split balanced accuracy,0.08612986400112277,0.006128812001406914,0.41,0.5752032520325203,0.33707865168539325,0.8333333333333334,0.3170731707317073,0.551490514905149,0.20525818714100857,1.1535561551684526,0.18357754563304993,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_01_fold_03/lightgbm/test_predictions.csv
per_cancer,os_3yr,BRCA,1,4,logistic_regression,321,80,100,success,0.0695588992606126,validation split balanced accuracy,0.010707833997003036,0.003955092000978766,0.32,0.5437665782493368,0.24444444444444444,0.8461538461538461,0.2413793103448276,0.5225464190981433,0.21891286148870057,0.42452673103240796,0.11762118513137321,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_01_fold_04/logistic_regression/test_predictions.csv
per_cancer,os_3yr,BRCA,1,4,random_forest,321,80,100,success,0.09333333333333334,validation split balanced accuracy,0.34188787199673243,0.07639071900121053,0.29,0.4610963748894783,0.20224719101123595,0.6923076923076923,0.22988505747126436,0.6286472148541115,0.24605878382121313,0.3800667570041974,0.11244044444444466,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_01_fold_04/random_forest/test_predictions.csv
per_cancer,os_3yr,BRCA,1,4,catboost,321,80,100,success,0.10497694138952401,validation split balanced accuracy,1.9497126349997416,0.005781277999631129,0.62,0.519893899204244,0.20833333333333334,0.38461538461538464,0.6551724137931034,0.4986737400530504,0.1599566082421289,0.4043412828969115,0.11592744805858626,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_01_fold_04/catboost/test_predictions.csv
per_cancer,os_3yr,BRCA,1,4,xgboost,321,80,100,success,0.1010710746049881,validation split balanced accuracy,0.17194864399789367,0.005845179999596439,0.74,0.4907161803713528,0.13333333333333333,0.15384615384615385,0.8275862068965517,0.497789566755084,0.1383792477707324,0.5301520919382247,0.13132747970077538,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_01_fold_04/xgboost/test_predictions.csv
per_cancer,os_3yr,BRCA,1,4,lightgbm,321,80,100,success,0.14354667097001358,validation split balanced accuracy,0.07367789000272751,0.0059852269987459294,0.81,0.49823165340406717,0.09523809523809523,0.07692307692307693,0.9195402298850575,0.4544650751547303,0.15776505237707988,0.9124719675787516,0.13980876931245376,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_01_fold_04/lightgbm/test_predictions.csv
per_cancer,os_3yr,BRCA,2,0,logistic_regression,320,81,100,success,0.13471594097217218,validation split balanced accuracy,0.011475368999526836,0.003943239000363974,0.62,0.5474974463738509,0.20833333333333334,0.45454545454545453,0.6404494382022472,0.5607763023493361,0.16057124607461737,0.40427981550655284,0.10967688633224962,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_02_fold_00/logistic_regression/test_predictions.csv
per_cancer,os_3yr,BRCA,2,0,random_forest,320,81,100,success,0.25,validation split balanced accuracy,0.3500870469979418,0.07494404799945187,0.81,0.534729315628192,0.17391304347826086,0.18181818181818182,0.8876404494382022,0.47191011235955055,0.1534628577351716,0.5109917686775506,0.10608844244444475,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_02_fold_00/random_forest/test_predictions.csv
per_cancer,os_3yr,BRCA,2,0,catboost,320,81,100,success,0.11042238480784441,validation split balanced accuracy,2.133112613999401,0.0059800369999720715,0.63,0.43360572012257403,0.0975609756097561,0.18181818181818182,0.6853932584269663,0.4055158324821247,0.13251727104565197,0.3778077232724039,0.1020272091379751,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_02_fold_00/catboost/test_predictions.csv
per_cancer,os_3yr,BRCA,2,0,xgboost,320,81,100,success,0.07984749972820282,validation split balanced accuracy,0.2031133559976297,0.005731082001148025,0.71,0.5183861082737486,0.17142857142857143,0.2727272727272727,0.7640449438202247,0.4346271705822268,0.14980199243645964,0.5010522244272206,0.11190416237705017,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_02_fold_00/xgboost/test_predictions.csv
